[('Deletio;GEOMETRY
55;POLYGON ((628444.090585728 5803417.952854897, 628312.0629278069 5803312.500456323, 628194.5228922691 5803435.149830065, 628330.6482673199 5803519.413801666, 628444.090585728 5803417.952854897))
56;POLYGON ((629423.6910685992 5803487.795152015, 629446.9851709125 5803498.166104179, 629465.1011957657 5803510.675306963, 629563.4219326598 5803659.503483178, 629586.2960078191 5803668.199254268, 629626.3179520526 5803723.77179163, 629843.323798003 5803607.156195051, 629778.2718863063 5803539.512557256, 629686.2587078986 5803503.054403429, 629456.643398448 5803422.296537405, 629423.6910685992 5803487.795152015))
57;POLYGON ((629586.2960078191 5803668.199254268, 629563.4219326598 5803659.503483178, 629465.1011957657 5803510.675306963, 629446.9851709125 5803498.166104179, 629423.6910685992 5803487.795152015, 629381.4899614031 5803538.548402481, 629289.5455297703 5803576.005518645, 629236.6495371738 5803588.380454856, 629374.7953341525 5803799.853670089, 629429.7308898291 5803851.516577709, 629626.3179520526 5803723.77179163, 629586.2960078191 5803668.199254268))
58;POLYGON ((629429.7308898291 5803851.516577709, 629374.7953341525 5803799.853670089, 629236.6495371738 5803588.380454856, 629035.4373766748 5803595.877309907, 629264.8244895585 5803995.740223301, 629340.073986141 5804135.0836737305, 629377.2720601978 5804123.396806471, 629400.2529774929 5803895.57091864, 629412.656911827 5803859.792467249, 629429.7308898291 5803851.516577709))
59;POLYGON ((629532.6695602849 5804180.718954198, 629495.6562347887 5804039.993278268, 629426.5058961731 5803976.893841936, 629470.3467675659 5803897.291722644, 629429.7308898291 5803851.516577709, 629412.656911827 5803859.792467249, 629400.2529774929 5803895.57091864, 629377.2720601978 5804123.396806471, 629340.073986141 5804135.0836737305, 629322.6796863732 5804143.874755991, 629356.2568282819 5804224.024049813, 629387.7003775645 5804224.867590781, 629405.6324391111 5804258.672621527, 629409.3371921445 5804277.15573048, 629431.3008501062 5804269.02781095, 629486.3144369527 5804221.101914449, 629532.6695602849 5804180.718954198))
60;POLYGON ((629426.5058961731 5803976.893841936, 629495.6562347887 5804039.993278268, 629532.6695602849 5804180.718954198, 629675.0441149116 5804056.687160325, 629470.3467675659 5803897.291722644, 629426.5058961731 5803976.893841936))
61;POLYGON ((629486.3144369527 5804221.101914449, 629541.2715470983 5804287.0946675185, 629582.2596665793 5804302.694085376, 629778.1938052217 5804133.759616778, 629675.0441149116 5804056.687160325, 629532.6695602849 5804180.718954198, 629486.3144369527 5804221.101914449))
62;POLYGON ((629582.2596665793 5804302.694085376, 629541.2715470983 5804287.0946675185, 629486.3144369527 5804221.101914449, 629431.3008501062 5804269.02781095, 629409.3371921445 5804277.15573048, 629425.2241992916 5804356.416494442, 629491.3911818853 5804578.956475591, 629493.4215527372 5804696.656526476, 629562.6327589739 5804654.536153835, 629632.9484446412 5804611.743607254, 629594.7552063059 5804499.647882051, 629562.9803472933 5804458.701087136, 629553.0812619536 5804371.0899190195, 629582.2596665793 5804302.694085376))
63;POLYGON ((629778.1938052217 5804133.759616778, 629582.2596665793 5804302.694085376, 629553.0812619536 5804371.0899190195, 629562.9803472933 5804458.701087136, 629594.7552063059 5804499.647882051, 629632.9484446412 5804611.743607254, 629693.0144000852 5804575.188806017, 630013.162162552 5804415.298389591, 629902.7876141147 5804233.16178885, 629778.1938052217 5804133.759616778))
64;POLYGON ((629562.6327589739 5804654.536153835, 629691.9502469372 5804874.182187966, 630083.0288273505 5804804.153778055, 630079.4045986385 5804601.746949964, 630061.5502996776 5804532.023609969, 630013.162162552 5804415.298389591, 629693.0144000852 5804575.188806017, 629632.9484446412 5804611.743607254, 629562.6327589739 5804654.536153835))
