[('Deletio;GEOMETRY
11;POLYGON ((629038.2799008724 5804559.975278273, 629003.5818903578 5804571.795610089, 628898.4629820553 5804573.202933509, 628937.4722490555 5804615.337312709, 628979.9614692398 5804654.832868341, 629040.7011171341 5804741.657735858, 629116.8029377373 5804774.96255023, 629163.7302206876 5804841.946872913, 629226.0857968467 5804782.173853584, 629163.958650935 5804715.5867932085, 629107.9560515619 5804671.159727448, 629083.3331085241 5804612.306368947, 629038.2799008724 5804559.975278273))
12;POLYGON ((629312.6967252397 5804705.732715629, 629309.222828435 5804702.287309298, 629136.6726375723 5804497.684441664, 629093.2474450197 5804523.408898348, 629038.2799008724 5804559.975278273, 629083.3331085241 5804612.306368947, 629107.9560515619 5804671.159727448, 629163.958650935 5804715.5867932085, 629226.0857968467 5804782.173853584, 629312.6967252397 5804705.732715629))
13;POLYGON ((628921.6874703534 5804340.122657092, 628883.7661540247 5804352.212438655, 628853.948830191 5804353.9548001345, 628781.9687532036 5804348.852893326, 628729.4456560734 5804330.650414968, 628794.177518803 5804450.692915535, 628898.4629820553 5804573.202933509, 629003.5818903578 5804571.795610089, 629038.2799008724 5804559.975278273, 629093.2474450197 5804523.408898348, 628971.4562942815 5804352.261775712, 628956.5684898881 5804333.738734226, 628921.6874703534 5804340.122657092))
14;POLYGON ((628794.177518803 5804450.692915535, 628729.4456560734 5804330.650414968, 628681.0134984849 5804360.079461434, 628623.8604834037 5804387.138336835, 628746.5409208615 5804577.871368905, 628797.412940483 5804656.962914367, 628937.4722490555 5804615.337312709, 628898.4629820553 5804573.202933509, 628794.177518803 5804450.692915535))
15;POLYGON ((628729.4456560734 5804330.650414968, 628724.0723355828 5804320.685825272, 628701.8151268924 5804228.21918964, 628584.2547187349 5804232.934875106, 628610.78242834 5804371.292250147, 628623.8604834037 5804387.138336835, 628681.0134984849 5804360.079461434, 628729.4456560734 5804330.650414968))
16;POLYGON ((628729.4456560734 5804330.650414968, 628781.9687532036 5804348.852893326, 628853.948830191 5804353.9548001345, 628883.7661540247 5804352.212438655, 628921.6874703534 5804340.122657092, 628956.5684898881 5804333.738734226, 628902.7559774392 5804266.78654698, 628866.6380262931 5804178.022295867, 628757.3037961653 5804177.549197633, 628704.3119529849 5804167.8098037215, 628701.8151268924 5804228.21918964, 628724.0723355828 5804320.685825272, 628729.4456560734 5804330.650414968))
17;POLYGON ((628584.2547187349 5804232.934875106, 628701.8151268924 5804228.21918964, 628704.3119529849 5804167.8098037215, 628628.0271571922 5804127.946884082, 628563.4983572955 5804113.76291058, 628564.3517036298 5804128.9653262785, 628584.2547187349 5804232.934875106))
18;POLYGON ((628671.1704345164 5803927.14794417, 628561.522590122 5803890.270046136, 628540.7765726447 5803891.194182526, 628563.4983572955 5804113.76291058, 628628.0271571922 5804127.946884082, 628704.3119529849 5804167.8098037215, 628712.349192348 5804052.437747949, 628677.3281546202 5803940.517805062, 628671.1704345164 5803927.14794417))
19;POLYGON ((628866.6380262931 5804178.022295867, 628848.1138826582 5803959.788328346, 628782.471048426 5803963.852401292, 628671.1704345164 5803927.14794417, 628677.3281546202 5803940.517805062, 628712.349192348 5804052.437747949, 628704.3119529849 5804167.8098037215, 628757.3037961653 5804177.549197633, 628866.6380262931 5804178.022295867))
20;POLYGON ((628671.1704345164 5803927.14794417, 628782.471048426 5803963.852401292, 628848.1138826582 5803959.788328346, 628811.1388441111 5803770.922465602, 628751.5308308468 5803761.685235279, 628739.7574301712 5803753.905559439, 628706.1068864845 5803743.816260194, 628688.9993979742 5803746.7021830585, 628619.124397406 5803726.838837423, 628626.5103562901 5803750.049346265, 628628.1168532349 5803813.445348719, 628650.6887581699 5803882.677412623, 628671.1704345164 5803927.14794417))
21;POLYGON ((628540.7765726447 5803891.194182526, 628561.522590122 5803890.270046136, 628671.1704345164 5803927.14794417, 628650.6887581699 5803882.677412623, 628628.1168532349 5803813.445348719, 628626.5103562901 5803750.049346265, 628619.124397406 5803726.838837423, 628618.6842661239 5803725.455717168, 628577.6749577402 5803661.361198909, 628543.841700706 5803701.796422458, 628527.3364827689 5803727.852947553, 628540.7765726447 5803891.194182526))
22;POLYGON ((628619.124397406 5803726.838837423, 628688.9993979742 5803746.7021830585, 628706.1068864845 5803743.816260194, 628739.7574301712 5803753.905559439, 628751.5308308468 5803761.685235279, 628811.1388441111 5803770.922465602, 628836.3036654443 5803774.822164517, 628872.6708306606 5803691.14535277, 628958.8302138469 5803579.943576082, 628896.924172749 5803534.515141911, 628782.9596757694 5803534.844787275, 628653.0215767734 5803569.407998065, 628577.6749577402 5803661.361198909, 628618.6842661239 5803725.455717168, 628619.124397406 5803726.838837423))
23;POLYGON ((628308.4287720344 5803739.244979073, 628303.5985325885 5803550.437142646, 628330.6482673199 5803519.413801666, 628194.5228922691 5803435.149830065, 628162.7886289599 5803494.737707551, 628172.6843856634 5803739.915330873, 628308.4287720344 5803739.244979073))
