ID;DEPARTURE;ORIGIN;DESTINATION;SERVICE
16186;08:00:51;627102.3558651399 5800966.287693664;630377.2935286161 5799276.878224155;PersonalVehicle
35060;08:00:52;633672.1088953787 5801895.047217489;631397.8805874786 5802070.282587417;PersonalVehicle
4731;08:00:52;626076.5481770324 5804633.268078807;627328.9790142471 5807827.774610744;PersonalVehicle
47696;08:00:52;632357.7464165204 5800288.209577048;630504.720472179 5802629.75198882;PersonalVehicle
36142;08:00:52;631913.9173730104 5808124.069404383;630506.0697654895 5799963.758332894;PersonalVehicle
2560;08:00:52;628436.8586878271 5806009.502550702;628080.388183185 5805280.585579309;PersonalVehicle
15979;08:00:52;626936.5445554967 5800967.319148569;625506.3564786583 5800324.4571683705;PersonalVehicle
15209;08:00:52;627551.6576460504 5802302.308633437;625506.3564786583 5800324.4571683705;PersonalVehicle
25368;08:00:52;631233.924251521 5806348.222314442;630377.2935286161 5799276.878224155;PersonalVehicle
40382;08:00:52;627498.1724596496 5810012.366902584;629668.711972529 5806203.978466947;PersonalVehicle
38237;08:00:53;634266.520278123 5803737.794336154;630161.0003219186 5805940.636632006;PersonalVehicle
19711;08:00:54;630197.294917955 5802588.8593009105;625506.3564786583 5800324.4571683705;PersonalVehicle
40671;08:00:54;627498.1724596496 5810012.366902584;631067.1622477788 5800156.840483306;PersonalVehicle
15918;08:00:54;626481.3435700873 5801104.987917725;625506.3564786583 5800324.4571683705;PersonalVehicle
19989;08:00:54;630468.622223139 5802273.957416381;633480.6171529355 5802462.518826877;PersonalVehicle
13727;08:00:54;629570.7404363309 5802354.657309561;628806.2135138725 5800808.219494563;PersonalVehicle
5416;08:00:54;626320.9295599599 5804175.035397423;625506.3564786583 5800324.4571683705;PersonalVehicle
36394;08:00:54;631913.9173730104 5808124.069404383;628025.0861307916 5807066.513094128;PersonalVehicle
23702;08:00:55;631575.0533116189 5802084.097377417;633672.1088953787 5801895.047217489;PersonalVehicle
19837;08:00:55;630237.7173668382 5802701.65019741;630377.2935286161 5799276.878224155;PersonalVehicle
40494;08:00:55;627498.1724596496 5810012.366902584;630661.8394774082 5801017.504778628;PersonalVehicle
13002;08:00:55;625506.3564786583 5800324.4571683705;630661.8394774082 5801017.504778628;PersonalVehicle
26685;08:00:55;633014.8831726135 5806552.874629428;629391.1138311606 5809270.565944559;PersonalVehicle
17800;08:00:55;630320.6343787304 5801187.595120318;625506.3564786583 5800324.4571683705;PersonalVehicle
15462;08:00:56;627882.5925060062 5802124.564497566;628375.7443872633 5801685.856690253;PersonalVehicle
12662;08:00:56;625506.3564786583 5800324.4571683705;626504.4778797997 5800832.65177595;PersonalVehicle
21359;08:00:56;632567.0781510185 5804337.5391619215;631687.6133317675 5808091.659024938;PersonalVehicle
39980;08:00:56;627498.1724596496 5810012.366902584;625646.8030724141 5806901.830403392;PersonalVehicle
4095;08:00:56;626740.2182319423 5802649.030790787;625495.2665135056 5806727.877555828;PersonalVehicle
13987;08:00:56;628602.2603354161 5801579.374622555;628035.0931699035 5802989.110398581;PersonalVehicle
45281;08:00:57;625506.3564786583 5800324.4571683705;630661.8394774082 5801017.504778628;PersonalVehicle
18835;08:00:57;625506.3564786583 5800324.4571683705;629441.1837718184 5800468.355883743;PersonalVehicle
27486;08:00:57;630574.8878229542 5807668.519977365;631770.0681196338 5808032.848747586;PersonalVehicle
25100;08:00:57;630493.9285646514 5805897.969781358;633305.7340250836 5806683.829493437;PersonalVehicle
25900;08:00:57;628147.8477673247 5809498.356553737;628946.5744033937 5809756.541689586;PersonalVehicle
48441;08:00:57;631913.9173730104 5808124.069404383;625646.8030724141 5806901.830403392;PersonalVehicle
37289;08:00:57;631913.9173730104 5808124.069404383;629412.7806182799 5804509.723852577;PersonalVehicle
20683;08:00:58;631693.4826437257 5803268.269541697;633672.1088953787 5801895.047217489;PersonalVehicle
16609;08:00:58;628069.4679815389 5801253.427385711;629035.6005312671 5801134.498969448;PersonalVehicle
38752;08:00:58;627498.1724596496 5810012.366902584;631179.1003612746 5804535.5735330805;PersonalVehicle
48719;08:00:58;631913.9173730104 5808124.069404383;625842.6362438567 5806060.323055961;PersonalVehicle
17792;08:00:58;630284.4599035729 5801160.263023871;625506.3564786583 5800324.4571683705;PersonalVehicle
48913;08:01:00;627498.1724596496 5810012.366902584;625646.8030724141 5806901.830403392;PersonalVehicle
4751;08:01:00;625839.384681884 5804501.687538402;625826.8258250288 5806418.778790863;PersonalVehicle
23800;08:01:00;632183.1496028845 5802161.751657016;629931.884741375 5800322.458181231;PersonalVehicle
19437;08:01:00;630087.341382731 5802273.773221188;630946.2986586298 5802873.6561301155;PersonalVehicle
14831;08:01:00;625870.0576959886 5801032.581878044;630311.6526074877 5801154.261038382;PersonalVehicle
7379;08:01:01;625495.2665135056 5806727.877555828;625789.3343575794 5800457.240423721;PersonalVehicle
14758;08:01:01;625824.5788975719 5801515.187192706;625506.3564786583 5800324.4571683705;PersonalVehicle
14517;08:01:01;626067.5208656456 5801784.390813939;625506.3564786583 5800324.4571683705;PersonalVehicle
28126;08:01:01;631032.0935491628 5807898.487702852;630286.6596792893 5803233.0421831;PersonalVehicle
26137;08:01:01;629037.453977029 5809753.7552010305;630870.6027067486 5807786.48371274;PersonalVehicle
23729;08:01:02;631997.4968527084 5802023.668503849;630311.6526074877 5801154.261038382;PersonalVehicle
21021;08:01:02;632477.2130289803 5803808.8704957925;625506.3564786583 5800324.4571683705;PersonalVehicle
3184;08:01:02;627227.8404322513 5804968.899583583;625506.3564786583 5800324.4571683705;PersonalVehicle
39942;08:01:02;627498.1724596496 5810012.366902584;627066.162698101 5806824.733094203;PersonalVehicle
36373;08:01:03;631913.9173730104 5808124.069404383;627411.1971072122 5806820.351844081;PersonalVehicle
16731;08:01:03;627912.389333906 5801312.462377243;630377.2935286161 5799276.878224155;PersonalVehicle
20806;08:01:03;632223.1478746408 5803371.867208717;630661.8394774082 5801017.504778628;PersonalVehicle
5374;08:01:03;626219.4847788193 5804051.953122879;631734.2590412488 5800278.069334243;PersonalVehicle
5548;08:01:04;625870.50054484 5803950.957624412;632357.7464165204 5800288.209577048;PersonalVehicle
12265;08:01:04;625506.3564786583 5800324.4571683705;630311.6526074877 5801154.261038382;PersonalVehicle
22976;08:01:04;634266.520278123 5803737.794336154;625965.6093359436 5801026.913977332;PersonalVehicle
21229;08:01:04;632376.4308846438 5804004.485665341;634266.520278123 5803737.794336154;PersonalVehicle
15703;08:01:04;627998.4475646575 5801773.946057561;628399.619337237 5802993.524255849;PersonalVehicle
33265;08:01:04;629956.1371536459 5802357.721867198;630213.5861772824 5802668.390269957;PersonalVehicle
25975;08:01:06;628587.5243107922 5808997.123628947;630506.0697654895 5799963.758332894;PersonalVehicle
34170;08:01:06;626908.1833990223 5805261.169486371;625495.2665135056 5806727.877555828;PersonalVehicle
24186;08:01:06;632067.2558633231 5800260.49485929;630661.8394774082 5801017.504778628;PersonalVehicle
21108;08:01:06;631884.5144778524 5803920.156087097;625506.3564786583 5800324.4571683705;PersonalVehicle
5078;08:01:07;626825.3854587284 5804356.473244024;627042.11360284 5804098.329944776;PersonalVehicle
1066;08:01:07;630033.5823974463 5803753.006411199;625646.8030724141 5806901.830403392;PersonalVehicle
16202;08:01:07;627186.2617565569 5801140.489567379;625506.3564786583 5800324.4571683705;PersonalVehicle
3437;08:01:07;627348.9787446435 5803553.059825808;628435.4583328723 5804201.210444116;PersonalVehicle
25912;08:01:07;628086.8826781738 5809510.328441416;629427.4209686655 5805980.858644696;PersonalVehicle
15126;08:01:08;627112.7250073138 5801826.68425503;630311.6526074877 5801154.261038382;PersonalVehicle
4232;08:01:08;625600.6114507922 5805879.519431279;626595.9812206056 5804995.69043776;PersonalVehicle
19823;08:01:08;630205.6859079038 5802574.664909009;627101.5388682911 5804977.751106098;PersonalVehicle
47969;08:01:09;630377.2935286161 5799276.878224155;625842.6362438567 5806060.323055961;PersonalVehicle
27729;08:01:09;630213.3393729927 5808292.807285498;628796.318909859 5807659.528016352;PersonalVehicle
39458;08:01:09;627498.1724596496 5810012.366902584;630814.3386336981 5800572.499761111;PersonalVehicle
40270;08:01:09;627498.1724596496 5810012.366902584;630663.7695158708 5805805.532060756;PersonalVehicle
17391;08:01:09;629502.5269500647 5800493.952798297;632357.7464165204 5800288.209577048;PersonalVehicle
38112;08:01:09;631913.9173730104 5808124.069404383;628946.5744033937 5809756.541689586;PersonalVehicle
15274;08:01:09;627708.7850691067 5802623.0487503065;628170.5587051599 5801459.282784047;PersonalVehicle
5866;08:01:09;626281.199976725 5803012.082091273;625688.8717858293 5804506.522507699;PersonalVehicle
25569;08:01:09;629346.0397258371 5808345.099484426;631770.0681196338 5808032.848747586;PersonalVehicle
4348;08:01:09;626245.835385332 5805308.8913181685;625495.2665135056 5806727.877555828;PersonalVehicle
39345;08:01:10;627498.1724596496 5810012.366902584;628025.0861307916 5807066.513094128;PersonalVehicle
27583;08:01:10;630141.6660804221 5808017.045097184;626386.0782711251 5806076.136704188;PersonalVehicle
11747;08:01:10;625554.1614699566 5802378.606831475;630377.2935286161 5799276.878224155;PersonalVehicle
3256;08:01:11;627506.838320833 5804860.40148922;629541.8535636779 5804873.032657778;PersonalVehicle
23911;08:01:12;632282.4448225811 5801708.864806018;631552.3702811857 5803354.946950363;PersonalVehicle
27163;08:01:12;630933.0664315162 5808705.443298259;627498.1724596496 5810012.366902584;PersonalVehicle
144;08:01:12;628288.1030278079 5803762.532174638;628025.0861307916 5807066.513094128;PersonalVehicle
27186;08:01:13;630910.7683105407 5808610.359913549;625506.3564786583 5800324.4571683705;PersonalVehicle
